2024-06-17 12:22:12: Ищу первую свечу по акции LENT
2024-06-17 12:22:17: Ищу первую свечу по акции LKOH
2024-06-17 12:22:21: Ищу первую свечу по акции LNZL
2024-06-17 12:22:26: Ищу первую свечу по акции LNZLP
2024-06-17 12:22:30: Ищу первую свечу по акции LSNG
2024-06-17 12:22:35: Ищу первую свечу по акции LSNGP
2024-06-17 12:22:39: Ищу первую свечу по акции LSRG
2024-06-17 12:22:45: Ищу первую свечу по акции LVHK
2024-06-17 12:22:49: Ищу первую свечу по акции MAGE
2024-06-17 12:22:54: Ищу первую свечу по акции MAGEP
2024-06-17 12:22:59: Ищу первую свечу по акции MAGN
2024-06-17 12:23:06: Ищу первую свечу по акции MBNK
2024-06-17 12:23:10: Ищу первую свечу по акции MDMG
2024-06-17 12:23:17: Ищу первую свечу по акции MFGS
2024-06-17 12:23:23: Ищу первую свечу по акции MFGSP
2024-06-17 12:23:31: Ищу первую свечу по акции MGKL
2024-06-17 12:23:36: Ищу первую свечу по акции MGNT
2024-06-17 12:23:44: Ищу первую свечу по акции MGNZ
2024-06-17 12:23:50: Ищу первую свечу по акции MGTS
2024-06-17 12:23:55: Ищу первую свечу по акции MGTSP
2024-06-17 12:24:01: Ищу первую свечу по акции MISB
2024-06-17 12:24:06: Ищу первую свечу по акции MISBP
2024-06-17 12:24:14: Ищу первую свечу по акции MOEX
2024-06-17 12:24:20: Ищу первую свечу по акции MRKC
2024-06-17 12:24:26: Ищу первую свечу по акции MRKK
2024-06-17 12:24:32: Ищу первую свечу по акции MRKP
2024-06-17 12:24:37: Ищу первую свечу по акции MRKS
2024-06-17 12:24:43: Ищу первую свечу по акции MRKU
2024-06-17 12:24:48: Ищу первую свечу по акции MRKV
2024-06-17 12:24:52: Ищу первую свечу по акции MRKY
2024-06-17 12:24:58: Ищу первую свечу по акции MRKZ
2024-06-17 12:25:03: Ищу первую свечу по акции MRSB
2024-06-17 12:25:09: Ищу первую свечу по акции MSNG
2024-06-17 12:25:15: Ищу первую свечу по акции MSRS
2024-06-17 12:25:19: Ищу первую свечу по акции MSTT
2024-06-17 12:25:25: Ищу первую свечу по акции MTLR
2024-06-17 12:25:30: Ищу первую свечу по акции MTLRP
2024-06-17 12:25:36: Ищу первую свечу по акции MTSS
2024-06-17 12:25:40: Ищу первую свечу по акции MVID
2024-06-17 12:25:46: Ищу первую свечу по акции NAUK
2024-06-17 12:25:50: Ищу первую свечу по акции NFAZ
2024-06-17 12:25:56: Ищу первую свечу по акции NKHP
2024-06-17 12:26:02: Ищу первую свечу по акции NKNC
2024-06-17 12:26:08: Ищу первую свечу по акции NKNCP
2024-06-17 12:26:14: Ищу первую свечу по акции NKSH
2024-06-17 12:26:20: Ищу первую свечу по акции NLMK
2024-06-17 12:26:27: Ищу первую свечу по акции NMTP
2024-06-17 12:26:32: Ищу первую свечу по акции NNSB
2024-06-17 12:26:36: Ищу первую свечу по акции NNSBP
2024-06-17 12:26:42: Ищу первую свечу по акции NSVZ
2024-06-17 12:26:46: Ищу первую свечу по акции NVTK
2024-06-17 12:26:51: Ищу первую свечу по акции OGKB
2024-06-17 12:26:56: Ищу первую свечу по акции OKEY
2024-06-17 12:27:01: Ищу первую свечу по акции OMZZP
2024-06-17 12:27:05: Ищу первую свечу по акции OZON
2024-06-17 12:27:11: Ищу первую свечу по акции PHOR
2024-06-17 12:27:16: Ищу первую свечу по акции PIKK
2024-06-17 12:27:23: Ищу первую свечу по акции PLZL
2024-06-17 12:27:27: Ищу первую свечу по акции PMSB
2024-06-17 12:27:32: Ищу первую свечу по акции PMSBP
2024-06-17 12:27:38: Ищу первую свечу по акции POLY
2024-06-17 12:27:45: Ищу первую свечу по акции POSI
2024-06-17 12:27:50: Ищу первую свечу по акции PRFN
2024-06-17 12:27:55: Ищу первую свечу по акции PRMB
2024-06-17 12:27:59: Ищу первую свечу по акции QIWI
2024-06-17 12:28:04: Ищу первую свечу по акции RASP
2024-06-17 12:28:09: Ищу первую свечу по акции RBCM
2024-06-17 12:28:14: Ищу первую свечу по акции RDRB
2024-06-17 12:28:19: Ищу первую свечу по акции RENI
2024-06-17 12:28:24: Ищу первую свечу по акции RGSS
2024-06-17 12:28:29: Ищу первую свечу по акции RKKE
2024-06-17 12:28:34: Ищу первую свечу по акции RNFT
2024-06-17 12:28:39: Ищу первую свечу по акции ROLO
2024-06-17 12:28:45: Ищу первую свечу по акции ROSB
2024-06-17 12:28:50: Ищу первую свечу по акции ROSN
2024-06-17 12:28:55: Ищу первую свечу по акции ROST
2024-06-17 12:28:59: Ищу первую свечу по акции RTGZ
2024-06-17 12:29:02: Ищу первую свечу по акции RTKM
2024-06-17 12:29:07: Ищу первую свечу по акции RTKMP
2024-06-17 12:29:11: Ищу первую свечу по акции RTSB
2024-06-17 12:29:16: Ищу первую свечу по акции RTSBP
2024-06-17 12:29:23: Ищу первую свечу по акции RUAL
2024-06-17 12:29:28: Ищу первую свечу по акции RUSI
2024-06-17 12:29:33: Ищу первую свечу по акции RZSB
2024-06-17 12:29:38: Ищу первую свечу по акции SAGO
2024-06-17 12:29:43: Ищу первую свечу по акции SAGOP
2024-06-17 12:29:48: Ищу первую свечу по акции SARE
2024-06-17 12:29:54: Ищу первую свечу по акции SAREP
2024-06-17 12:29:58: Ищу первую свечу по акции SBER
2024-06-17 12:30:03: Ищу первую свечу по акции SBERP
2024-06-17 12:30:08: Ищу первую свечу по акции SELG
2024-06-17 12:30:13: Ищу первую свечу по акции SFIN
2024-06-17 12:30:19: Ищу первую свечу по акции SGZH
2024-06-17 12:30:23: Ищу первую свечу по акции SIBN
2024-06-17 12:30:28: Ищу первую свечу по акции SLEN
2024-06-17 12:30:33: Ищу первую свечу по акции SMLT
2024-06-17 12:30:38: Ищу первую свечу по акции SNGS
2024-06-17 12:30:42: Ищу первую свечу по акции SNGSP
2024-06-17 12:30:47: Ищу первую свечу по акции SOFL
2024-06-17 12:30:52: Ищу первую свечу по акции SPBE
2024-06-17 12:30:58: Ищу первую свечу по акции STSB
2024-06-17 12:31:03: Ищу первую свечу по акции STSBP
2024-06-17 12:31:10: Ищу первую свечу по акции SVAV
2024-06-17 12:31:15: Ищу первую свечу по акции SVCB
2024-06-17 12:31:20: Ищу первую свечу по акции SVET
2024-06-17 12:31:25: Ищу первую свечу по акции SVETP
2024-06-17 12:31:26: Ищу первую свечу по акции TASB
2024-06-17 12:31:32: Ищу первую свечу по акции TASBP
2024-06-17 12:31:38: Ищу первую свечу по акции TATN
2024-06-17 12:31:44: Ищу первую свечу по акции TATNP
2024-06-17 12:31:49: Ищу первую свечу по акции TCSG
2024-06-17 12:31:54: Ищу первую свечу по акции TGKA
2024-06-17 12:32:02: Ищу первую свечу по акции TGKB
2024-06-17 12:32:08: Ищу первую свечу по акции TGKBP
2024-06-17 12:32:12: Ищу первую свечу по акции TGKN
2024-06-17 12:32:17: Ищу первую свечу по акции TNSE
2024-06-17 12:32:23: Ищу первую свечу по акции TORS
2024-06-17 12:32:28: Ищу первую свечу по акции TORSP
2024-06-17 12:32:34: Ищу первую свечу по акции TRMK
2024-06-17 12:32:40: Ищу первую свечу по акции TRNFP
2024-06-17 12:32:44: Ищу первую свечу по акции TTLK
2024-06-17 12:32:52: Ищу первую свечу по акции TUZA
2024-06-17 12:32:59: Ищу первую свечу по акции UGLD
